a ChatFormat
aa AdvancementTriggerCureZombieVillager
aa$a AdvancementTriggerCureZombieVillager$Checker
aa$b AdvancementTriggerCureZombieVillager$CheckerInstance
aaa ParrotEntity
aab PigEntity
aac PolarBearEntity
aac$a PolarBearEntity$CubProximityGoal
aac$b PolarBearEntity$PolarBearGroupInfo
aac$c PolarBearEntity$CubAttackAngerOtherGoal
aac$d PolarBearEntity$PolarBearAttackGoal
aac$e PolarBearEntity$PolarBearPanicGoal
aad RabbitEntity
aad$a RabbitEntity$KillerRabbitMeleeAttackGoal
aad$b RabbitEntity$RabbitAvoidTargetGoal
aad$c RabbitEntity$RabbitGroupInfo
aad$d RabbitEntity$JumpController
aad$e RabbitEntity$MoveController
aad$f RabbitEntity$RabbitPanicGoal
aad$g RabbitEntity$EatCarrotsGoal
aae SheepEntity
aaf ShoulderEntity
aag SnowmanEntity
aah SquidEntity
aah$a SquidEntity$RandomSwimGoal
aai IronGolemEntity
aaj WaterEntity
aak WolfEntity
aak$a WolfEntity$AvoidLlamasGoal
aal ChestedHorseEntity
aam AbstractHorseEntity
aan DonkeyEntity
aao HorseEntity
aao$a HorseEntity$HorseGroupInfo
aap HorseArmour
aaq LlamaEntity
aaq$a LlamaEntity$NearestAttackableWolfGoal
aaq$b LlamaEntity$LlamaGroupInfo
aaq$c LlamaEntity$AttackedResetSpitGoal
aar MuleEntity
aas SkeletonHorseEntity
aat HorseTrapGoal
aau ZombieHorseEntity
aay MultipartEntity
aaz PartEntity
ab AdvancementConditionDamage
aba EnderCrystalEntity
abb EnderDragonEntity
abd AbstractDragonPhaseManager
abe AbstractDragonPhaseManagerLand
abf DragonPhaseManagerChargingPlayer
abg DragonPhaseManagerDying
abh DragonPhaseManagerHoldingPattern
abi DragonPhaseManagerHover
abj DragonPhaseManagerLandingApproach
abk DragonPhaseManagerLanding
abl DragonPhaseManager
abm DragonPhaseManagerSittingAttacking
abn DragonPhaseManagerSittingFlaming
abo DragonPhaseManagerSittingScanning
abp DragonPhaseManagerStrafePlayer
abq DragonPhaseManagerTakeoff
abr DragonPhase
abs DragonPhaseSelector
abv WitherEntity
abv$a WitherEntity$PostInvulnerabilityAttackGoal
abx ArmourStandEntity
aby StationaryEntity
abz ItemFrameEntity
ac AdvancementConditionDamageType
aca LeashKnotEntity
acb PaintingEntity
acb$a PaintingEntity$Motive
acd FishingBobberEntity
acd$a FishingBobberEntity$State
acf WeatherEntity
acg LightningEntity
aci FallingBlockEntity
acj ItemEntity
ack TNTEntity
acm IllagerEntity
acn AbstractSkeletonEntity
aco BlazeEntity
aco$a BlazeEntity$ShootFireballGoal
acp CaveSpiderEntity
acq CreeperEntity
acr ElderGuardianEntity
acs EndermanEntity
acs$a EndermanEntity$PlaceBlockGoal
acs$b EndermanEntity$NearestLookingPlayerGoal
acs$c EndermanEntity$PickupBlockGoal
act EndermiteEntity
acu Monster
acv EvokerEntity
acv$a EvokerEntity$FangsSpellGoal
acv$b EvokerEntity$FindWololoSpellTargetGoal
acv$c EvokerEntity$SummonVexSpellGoal
acv$d EvokerEntity$WololoSpellGoal
